tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
FC1-1a_LP-DIR-AF-1	FC1-1a_LP-DIR-AF	FC1-1a	0.5	130.1	52.8	0	0	0	0	0	273	This study	hargrave 2019-10-31 11:29:44	LT-NO:LP-DIR-AF	g	1	u	4	273			pmagpy-4.2.31	7.1e-06	4.9699999999999995e-08	4.440000000000002e-08	1.6100000000000002e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-2	FC1-1a_LP-DIR-AF	FC1-1a	0.5	128.4	53.3	0.001	0	0	0	1	273	This study	hargrave 2019-10-31 11:31:04	LT-AF-Z:LP-DIR-AF	g	2	u	4	273			pmagpy-4.2.31	7.06e-06	4.8099999999999994e-08	3.59e-08	1.37e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-3	FC1-1a_LP-DIR-AF	FC1-1a	0.4	124.3	55.4	0.002	0	0	0	2	273	This study	hargrave 2019-10-31 11:32:24	LT-AF-Z:LP-DIR-AF	g	3	u	4	273			pmagpy-4.2.31	7.05e-06	4.5199999999999994e-08	3.31e-08	1.31e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-4	FC1-1a_LP-DIR-AF	FC1-1a	0.4	121.7	56.6	0.003	0	0	0	3	273	This study	hargrave 2019-10-31 11:33:43	LT-AF-Z:LP-DIR-AF	g	4	u	4	273			pmagpy-4.2.31	7.06e-06	4.36e-08	3.2799999999999996e-08	1.33e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-5	FC1-1a_LP-DIR-AF	FC1-1a	0.4	120.6	57	0.004	0	0	0	4	273	This study	hargrave 2019-10-31 11:35:03	LT-AF-Z:LP-DIR-AF	g	5	u	4	273			pmagpy-4.2.31	6.96e-06	4.32e-08	3.25e-08	1.4099999999999999e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-6	FC1-1a_LP-DIR-AF	FC1-1a	0.4	120.7	56.8	0.005	0	0	0	5	273	This study	hargrave 2019-10-31 11:36:22	LT-AF-Z:LP-DIR-AF	g	6	u	4	273			pmagpy-4.2.31	6.81e-06	4.13e-08	3.09e-08	1.38e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-7	FC1-1a_LP-DIR-AF	FC1-1a	0.4	120.2	56.6	0.006	0	0	0	6	273	This study	hargrave 2019-10-31 11:37:42	LT-AF-Z:LP-DIR-AF	g	7	u	4	273			pmagpy-4.2.31	6.62e-06	3.9700000000000005e-08	2.96e-08	1.38e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-8	FC1-1a_LP-DIR-AF	FC1-1a	0.4	120.2	56.3	0.007	0	0	0	7	273	This study	hargrave 2019-10-31 11:39:02	LT-AF-Z:LP-DIR-AF	g	8	u	4	273			pmagpy-4.2.31	6.34e-06	3.86e-08	2.8199999999999998e-08	1.38e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-9	FC1-1a_LP-DIR-AF	FC1-1a	0.4	120.2	56.5	0.008	0	0	0	8	273	This study	hargrave 2019-10-31 11:40:22	LT-AF-Z:LP-DIR-AF	g	9	u	4	273			pmagpy-4.2.31	6.01e-06	3.78e-08	2.67e-08	1.32e-08	FC1-1	FC1	North
FC1-1a_LP-DIR-AF-10	FC1-1a_LP-DIR-AF	FC1-1a	0.4	120.5	57	0.009	0	0	0	9	273	This study	hargrave 2019-10-31 11:41:42	LT-AF-Z:LP-DIR-AF	g	10	u	4	273			pmagpy-4.2.31	5.62e-06	3.49e-08	2.5299999999999998e-08	1.2099999999999999e-08	FC1-1	FC1	North
