tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
FC1-1a		FC1-1										Intrusive	Pluton	Gabbro								This study	LP-NOMAG			
FC1-1a	FC1-1a_LP-DIR-AF	FC1-1		lc	181.4	-19.1	2	4	-1	87.3	3.3	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 12:33:51	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-1a	FC1-1a_LP-DIR-AF	FC1-1		mc	134.5	67.2	2	21	-1	13.7	5.8	Intrusive	Pluton	Gabbro	0.11	0.038	T		hargrave 2019-10-31 12:33:51	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
FC1-1a	FC1-1a_LP-DIR-AF	FC1-1		lc	102.3	40.9	2	4	0	87.3	3.3	Intrusive	Pluton	Gabbro	0.003	0	T		hargrave 2019-10-31 12:33:51	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-1a	FC1-1a_LP-DIR-AF	FC1-1		mc	303.2	44.1	2	21	0	13.7	5.8	Intrusive	Pluton	Gabbro	0.11	0.038	T		hargrave 2019-10-31 12:33:51	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
FC1-1b	FC1-1b_LP-DIR-T	FC1-1		lt	205.6	62.6	2	6	0	53.2	21.6	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:06:27	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-1b	FC1-1b_LP-DIR-T	FC1-1		mt	282.4	33.4	2	12	0	0.5	1.1	Intrusive	Pluton	Gabbro	873	813	K		hargrave 2020-03-14 14:06:27	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
FC1-1b	FC1-1b_LP-DIR-T	FC1-1		mt	156.3	86.3	2	12	-1	0.5	1.1	Intrusive	Pluton	Gabbro	873	813	K		hargrave 2020-03-14 14:06:27	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-1b	FC1-1b_LP-DIR-T	FC1-1		lt	212.0	33.2	2	6	-1	53.2	21.6	Intrusive	Pluton	Gabbro	573	273	K		hargrave 2020-03-14 14:06:27	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
FC1-1b		FC1-1										Intrusive	Pluton	Gabbro				Yiming Zhang				This study	LP-NOMAG			
